event_id,match_id,match_label,period,time_start,time_end,frame_start,frame_end,player_id,player_name,team_id,team_shortname,event_subtype,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,targeted,received,received_in_space,dangerous,xthreat,team_in_possession_phase_type,team_out_of_possession_phase_type,high_intensity
1_151,2015213,Western United v Auckland FC,1,28:43.1,28:46.7,19441,19477,582974,M. Francois,4177,Auckland FC,run_ahead_of_the_ball,-20.72,8.21,-0.47,14.62,center,half_space_left,defensive_third,middle_third,False,False,21.29,21.29,hsr,forward,0.0,0.0,,0.0,0.0106,chaotic,chaotic,True
1_152,2015213,Western United v Auckland FC,1,28:54.1,28:57.2,19551,19582,582974,M. Francois,4177,Auckland FC,pulling_wide,24.33,17.84,24.09,31.55,half_space_left,wide_left,attacking_third,attacking_third,False,False,15.11,18.01,running,sideway_left,1.0,1.0,0.0,0.0,0.0028,finish,low_block,False
1_153,2015213,Western United v Auckland FC,1,28:56.2,28:58.1,19572,19591,23418,F. Gallegos,4177,Auckland FC,support,2.39,16.0,10.8,23.11,half_space_left,wide_left,middle_third,middle_third,False,False,10.63,,,forward,0.0,0.0,,0.0,0.0047,finish,low_block,False
1_154,2015213,Western United v Auckland FC,1,28:58.8,28:59.8,19598,19608,163972,M. Mata,4177,Auckland FC,pulling_half_space,28.58,8.01,28.48,12.36,center,half_space_left,attacking_third,attacking_third,False,False,4.36,15.59,running,sideway_left,0.0,0.0,,0.0,0.0086,finish,low_block,False
1_155,2015213,Western United v Auckland FC,1,29:05.0,29:06.3,19660,19673,14736,L. Verstraete,4177,Auckland FC,coming_short,3.89,-2.98,4.04,-8.68,center,center,middle_third,middle_third,False,False,5.28,15.77,running,sideway_right,0.0,0.0,,0.0,0.0024,create,medium_block,False
1_156,2015213,Western United v Auckland FC,1,29:05.0,29:07.1,19660,19681,133501,L. Rogerson,4177,Auckland FC,pulling_wide,22.35,-20.06,17.22,-27.74,half_space_right,wide_right,attacking_third,middle_third,False,False,8.87,15.88,running,sideway_right,0.0,0.0,,0.0,0.0021,create,medium_block,False
1_157,2015213,Western United v Auckland FC,1,29:19.2,29:21.1,19802,19821,133501,L. Rogerson,4177,Auckland FC,behind,10.55,-18.13,19.91,-20.74,half_space_right,wide_right,middle_third,attacking_third,False,False,9.34,18.22,running,forward,0.0,0.0,,0.0,0.0134,create,medium_block,False
1_158,2015213,Western United v Auckland FC,1,30:31.8,30:33.4,20528,20544,38673,G. May,4177,Auckland FC,run_ahead_of_the_ball,-39.1,7.96,-29.66,8.67,center,center,defensive_third,defensive_third,False,False,9.49,21.24,hsr,forward,1.0,0.0,,0.0,0.008,disruption,disruption,True
1_159,2015213,Western United v Auckland FC,1,30:31.9,30:34.4,20529,20554,133501,L. Rogerson,4177,Auckland FC,run_ahead_of_the_ball,-34.93,13.46,-21.43,19.32,half_space_left,half_space_left,defensive_third,defensive_third,False,False,14.36,21.5,hsr,forward,0.0,0.0,,0.0,0.0079,disruption,disruption,True
1_160,2015213,Western United v Auckland FC,1,30:32.0,30:34.4,20530,20554,23418,F. Gallegos,4177,Auckland FC,run_ahead_of_the_ball,-32.68,1.36,-19.44,0.78,center,center,defensive_third,defensive_third,False,False,13.42,20.0,running,forward,0.0,0.0,,0.0,0.0112,disruption,disruption,False
1_161,2015213,Western United v Auckland FC,1,31:00.1,31:07.8,20811,20888,26844,R. Danzaki,1803,Western United,run_ahead_of_the_ball,-1.72,-24.77,40.09,5.42,wide_right,center,middle_third,attacking_third,False,True,53.64,25.14,sprinting,forward,0.0,0.0,,1.0,0.1454,finish,low_block,True
1_162,2015213,Western United v Auckland FC,1,31:01.1,31:05.5,20821,20865,795529,M. Ruhs,1803,Western United,behind,14.98,-16.52,34.14,-6.56,half_space_right,center,middle_third,attacking_third,False,False,21.85,17.82,running,forward,0.0,0.0,,1.0,0.0966,finish,low_block,False
1_163,2015213,Western United v Auckland FC,1,31:10.0,31:15.5,20910,20965,4322,H. Sakai,4177,Auckland FC,run_ahead_of_the_ball,-35.0,-16.53,-5.96,-32.62,half_space_right,wide_right,defensive_third,middle_third,False,False,33.99,22.44,hsr,forward,0.0,0.0,,0.0,0.0019,build_up,high_block,True
1_164,2015213,Western United v Auckland FC,1,31:11.1,31:14.9,20921,20959,163972,M. Mata,4177,Auckland FC,pulling_half_space,-14.39,-4.31,-8.57,-20.95,center,wide_right,middle_third,middle_third,False,False,17.78,16.79,running,sideway_right,1.0,0.0,,0.0,0.0011,build_up,high_block,False
1_165,2015213,Western United v Auckland FC,1,31:19.7,31:20.8,21007,21018,560916,N. Botić,1803,Western United,behind,25.59,9.13,29.88,12.24,center,half_space_left,attacking_third,attacking_third,False,False,4.89,17.14,running,forward,0.0,0.0,,1.0,0.0376,chaotic,chaotic,False
1_166,2015213,Western United v Auckland FC,1,32:45.3,32:46.5,21863,21875,957737,D. Leonard,1803,Western United,dropping_off,-5.8,-12.88,-10.88,-10.52,half_space_right,half_space_right,middle_third,middle_third,False,False,5.61,15.16,running,backward,1.0,1.0,1.0,0.0,0.0003,create,medium_block,False
1_167,2015213,Western United v Auckland FC,1,32:46.4,32:50.0,21874,21910,23922,B. Garuccio,1803,Western United,pulling_half_space,5.34,-7.2,-5.61,10.19,center,half_space_left,middle_third,middle_third,False,False,20.96,20.92,hsr,sideway_left,0.0,0.0,,0.0,0.0016,create,medium_block,True
1_168,2015213,Western United v Auckland FC,1,32:50.1,32:51.9,21911,21929,957737,D. Leonard,1803,Western United,dropping_off,-20.0,2.69,-26.76,8.54,center,center,defensive_third,defensive_third,False,False,8.99,17.89,running,backward,1.0,1.0,1.0,0.0,0.0001,build_up,high_block,False
1_169,2015213,Western United v Auckland FC,1,32:51.8,32:53.2,21928,21942,51675,A. Thurgate,1803,Western United,coming_short,-3.97,-7.88,-10.36,-4.15,center,center,middle_third,middle_third,False,False,7.45,19.2,running,backward,0.0,0.0,,0.0,0.0008,build_up,high_block,False
1_170,2015213,Western United v Auckland FC,1,32:51.8,32:54.1,21928,21951,23922,B. Garuccio,1803,Western United,dropping_off,-10.87,17.71,-19.34,24.79,half_space_left,wide_left,middle_third,defensive_third,False,False,10.62,17.23,running,backward,1.0,1.0,1.0,0.0,0.0003,build_up,high_block,False
1_171,2015213,Western United v Auckland FC,1,32:56.5,32:59.1,21975,22001,795527,M. Grimaldi,1803,Western United,run_ahead_of_the_ball,4.35,10.37,11.12,20.04,half_space_left,half_space_left,middle_third,middle_third,False,False,12.14,16.51,running,sideway_left,0.0,0.0,,0.0,0.0109,create,medium_block,False
1_172,2015213,Western United v Auckland FC,1,32:58.1,32:59.2,21991,22002,51675,A. Thurgate,1803,Western United,coming_short,-10.7,15.94,-7.79,19.57,half_space_left,half_space_left,middle_third,middle_third,False,False,4.24,15.21,running,sideway_left,1.0,1.0,1.0,0.0,0.0015,create,medium_block,False
1_173,2015213,Western United v Auckland FC,1,33:00.8,33:01.6,22018,22026,560917,R. Bozinovski,1803,Western United,coming_short,-3.03,8.65,-5.45,11.4,center,half_space_left,middle_third,middle_third,False,False,3.66,16.42,running,sideway_left,0.0,0.0,,0.0,0.0011,create,medium_block,False
1_174,2015213,Western United v Auckland FC,1,33:30.2,33:34.0,22312,22350,14736,L. Verstraete,4177,Auckland FC,support,-22.17,7.82,-8.89,-2.79,center,center,defensive_third,middle_third,False,False,17.63,16.67,running,forward,0.0,0.0,,0.0,0.0023,create,medium_block,False
1_175,2015213,Western United v Auckland FC,1,33:32.2,33:36.1,22332,22371,4322,H. Sakai,4177,Auckland FC,overlap,-18.38,-18.75,5.43,-27.27,half_space_right,wide_right,defensive_third,middle_third,False,False,24.78,23.51,hsr,forward,1.0,1.0,1.0,0.0,0.0015,create,medium_block,True
1_176,2015213,Western United v Auckland FC,1,33:33.1,33:34.0,22341,22350,163972,M. Mata,4177,Auckland FC,run_ahead_of_the_ball,6.37,-4.61,9.83,-6.55,center,center,middle_third,middle_third,False,False,3.56,15.98,running,forward,0.0,0.0,,0.0,0.015,create,medium_block,False
