match_label,event_id,match_id,period,time_start,time_end,minute_start,second_start,frame_start,frame_end,event_type,event_subtype,player_id,player_name,player_in_possession_id,player_in_possession_name,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_x_end,player_in_possession_y_end,team_id,team_shortname,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,pass_outcome,pass_distance,pass_range,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,n_passing_options,n_off_ball_runs,n_opponents_bypassed,associated_off_ball_run_event_id,associated_off_ball_run_subtype,team_in_possession_phase_type,team_out_of_possession_phase_type
Melbourne V FC v Auckland FC,7_18,2017461,1,00:58.2,00:59.6,0,58,3092,3106,passing_option,,51013,B. Hamill,51685.0,L. Jackson,-21.58,17.74,-21.15,16.19,868,Melbourne V FC,-18.41,-1.81,-22.13,-3.71,center,center,defensive_third,defensive_third,False,False,4.18,10.73,jogging,backward,,18.66,medium,1.0,1.0,1.0,0.0,0.0,0.0002,0.9994,0.9825,,,0.0,,,create,medium_block
Melbourne V FC v Auckland FC,8_12,2017461,1,01:01.3,01:02.9,1,1,3123,3139,player_possession,,51013,B. Hamill,,,,,,,868,Melbourne V FC,-23.49,-5.13,-20.89,-5.62,center,center,defensive_third,defensive_third,False,False,2.73,6.05,jogging,forward,unsuccessful,,,,,,,,,,,7.0,0.0,6.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_19,2017461,1,01:01.3,01:02.9,1,1,3123,3139,passing_option,,51685,L. Jackson,51013.0,B. Hamill,-23.49,-5.13,-20.89,-5.62,868,Melbourne V FC,-23.68,14.89,-25.69,13.33,half_space_left,half_space_left,defensive_third,defensive_third,False,False,2.71,6.11,jogging,backward,,,,0.0,0.0,,0.0,0.0,0.0001,0.9983,0.8117,,,0.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_20,2017461,1,01:01.3,01:02.9,1,1,3123,3139,passing_option,,800322,J. Inserra,51013.0,B. Hamill,-23.49,-5.13,-20.89,-5.62,868,Melbourne V FC,-17.31,-22.99,-20.19,-23.9,wide_right,wide_right,middle_third,defensive_third,False,False,3.19,7.16,jogging,backward,,,,0.0,0.0,,0.0,0.0,0.0002,0.9961,0.9219,,,0.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_21,2017461,1,01:02.7,01:02.9,1,2,3137,3139,passing_option,,11885,D. Arzani,51013.0,B. Hamill,-21.42,-5.58,-20.89,-5.62,868,Melbourne V FC,4.34,28.75,4.35,28.67,wide_left,wide_left,middle_third,middle_third,False,False,0.22,,,sideway_right,,,,1.0,0.0,,0.0,0.0,0.001,0.6563,0.8513,,,6.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_22,2017461,1,01:02.9,01:02.9,1,2,3139,3139,passing_option,,11117,Z. Machach,51013.0,B. Hamill,-20.89,-5.62,-20.89,-5.62,868,Melbourne V FC,4.74,4.05,4.74,4.05,center,center,middle_third,middle_third,False,False,0.0,,,sideway_right,,,,0.0,0.0,,0.0,1.0,0.0027,0.6279,0.6408,,,6.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_23,2017461,1,01:02.9,01:02.9,1,2,3139,3139,passing_option,,29075,N. Vergos,51013.0,B. Hamill,-20.89,-5.62,-20.89,-5.62,868,Melbourne V FC,9.27,-0.43,9.27,-0.43,center,center,middle_third,middle_third,False,False,0.0,,,sideway_right,,,,0.0,0.0,,0.0,1.0,0.0042,0.5536,0.6037,,,7.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_24,2017461,1,01:02.9,01:02.9,1,2,3139,3139,passing_option,,50955,N. Velupillay,51013.0,B. Hamill,-20.89,-5.62,-20.89,-5.62,868,Melbourne V FC,8.96,10.33,8.96,10.33,half_space_left,half_space_left,middle_third,middle_third,False,False,0.0,,,sideway_right,,,,0.0,0.0,,0.0,1.0,0.0062,0.5398,0.7366,,,7.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_25,2017461,1,01:02.9,01:02.9,1,2,3139,3139,passing_option,,811820,K. Bos,51013.0,B. Hamill,-20.89,-5.62,-20.89,-5.62,868,Melbourne V FC,-8.51,29.48,-8.51,29.48,wide_left,wide_left,middle_third,middle_third,False,False,0.0,5.33,jogging,forward,,,,0.0,0.0,,0.0,0.0,0.0004,0.8556,0.7276,,,2.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,8_13,2017461,1,01:06.0,01:06.0,1,6,3170,3170,player_possession,,4322,H. Sakai,,,,,,,4177,Auckland FC,-22.44,-22.36,-22.44,-22.36,wide_right,wide_right,defensive_third,defensive_third,False,False,0.0,,,backward,successful,16.83,medium,,,,,,,,,0.0,0.0,,,,chaotic,chaotic
